cluster,year_week,year,week,num_hechos,date_year_week,year_month
0,2019 27,2019,27,3,2019-07-14,2019-7
0,2019 28,2019,28,15,2019-07-21,2019-7
0,2019 29,2019,29,11,2019-07-28,2019-7
0,2019 30,2019,30,15,2019-08-04,2019-8
0,2019 31,2019,31,7,2019-08-11,2019-8
0,2019 32,2019,32,13,2019-08-18,2019-8
0,2019 33,2019,33,15,2019-08-25,2019-8
0,2019 34,2019,34,18,2019-09-01,2019-9
0,2019 35,2019,35,13,2019-09-08,2019-9
0,2019 36,2019,36,9,2019-09-15,2019-9
0,2019 37,2019,37,16,2019-09-22,2019-9
0,2019 38,2019,38,16,2019-09-29,2019-9
0,2019 39,2019,39,17,2019-10-06,2019-10
0,2019 40,2019,40,18,2019-10-13,2019-10
0,2019 41,2019,41,11,2019-10-20,2019-10
0,2019 42,2019,42,9,2019-10-27,2019-10
0,2019 43,2019,43,12,2019-11-03,2019-11
0,2019 44,2019,44,15,2019-11-10,2019-11
0,2019 45,2019,45,20,2019-11-17,2019-11
0,2019 46,2019,46,11,2019-11-24,2019-11
0,2019 47,2019,47,17,2019-12-01,2019-12
0,2019 48,2019,48,13,2019-12-08,2019-12
0,2019 49,2019,49,25,2019-12-15,2019-12
0,2019 50,2019,50,25,2019-12-22,2019-12
0,2019 51,2019,51,20,2019-12-29,2019-12
0,2019 52,2019,52,22,2020-01-05,2019-1
0,2020 01,2020,01,10,2020-01-12,2020-1
0,2020 02,2020,02,25,2020-01-19,2020-1
0,2020 03,2020,03,26,2020-01-26,2020-1
0,2020 04,2020,04,14,2020-02-02,2020-2
0,2020 05,2020,05,16,2020-02-09,2020-2
0,2020 06,2020,06,13,2020-02-16,2020-2
0,2020 07,2020,07,30,2020-02-23,2020-2
0,2020 08,2020,08,33,2020-03-01,2020-3
0,2020 09,2020,09,21,2020-03-08,2020-3
0,2020 10,2020,10,15,2020-03-15,2020-3
0,2020 11,2020,11,29,2020-03-22,2020-3
0,2020 12,2020,12,18,2020-03-29,2020-3
0,2020 13,2020,13,30,2020-04-05,2020-4
0,2020 14,2020,14,21,2020-04-12,2020-4
0,2020 15,2020,15,13,2020-04-19,2020-4
0,2020 16,2020,16,21,2020-04-26,2020-4
0,2020 17,2020,17,18,2020-05-03,2020-5
0,2020 18,2020,18,19,2020-05-10,2020-5
0,2020 19,2020,19,22,2020-05-17,2020-5
0,2020 20,2020,20,27,2020-05-24,2020-5
0,2020 21,2020,21,19,2020-05-31,2020-5
0,2020 22,2020,22,29,2020-06-07,2020-6
0,2020 23,2020,23,26,2020-06-14,2020-6
0,2020 24,2020,24,16,2020-06-21,2020-6
1,2012 01,2012,01,2,2012-01-08,2012-1
1,2012 02,2012,02,9,2012-01-15,2012-1
1,2012 03,2012,03,4,2012-01-22,2012-1
1,2012 04,2012,04,3,2012-01-29,2012-1
1,2012 05,2012,05,7,2012-02-05,2012-2
1,2012 06,2012,06,12,2012-02-12,2012-2
1,2012 07,2012,07,6,2012-02-19,2012-2
1,2012 08,2012,08,7,2012-02-26,2012-2
1,2012 09,2012,09,9,2012-03-04,2012-3
1,2012 10,2012,10,1,2012-03-11,2012-3
1,2012 11,2012,11,2,2012-03-18,2012-3
1,2012 12,2012,12,4,2012-03-25,2012-3
1,2012 13,2012,13,5,2012-04-01,2012-4
1,2012 14,2012,14,2,2012-04-08,2012-4
1,2012 15,2012,15,3,2012-04-15,2012-4
1,2012 16,2012,16,2,2012-04-22,2012-4
1,2012 17,2012,17,1,2012-04-29,2012-4
1,2012 18,2012,18,5,2012-05-06,2012-5
1,2012 19,2012,19,8,2012-05-13,2012-5
1,2012 20,2012,20,6,2012-05-20,2012-5
1,2012 21,2012,21,6,2012-05-27,2012-5
1,2012 22,2012,22,4,2012-06-03,2012-6
1,2012 23,2012,23,4,2012-06-10,2012-6
1,2012 24,2012,24,5,2012-06-17,2012-6
1,2012 25,2012,25,6,2012-06-24,2012-6
1,2012 26,2012,26,3,2012-07-01,2012-7
1,2012 27,2012,27,9,2012-07-08,2012-7
1,2012 28,2012,28,3,2012-07-15,2012-7
1,2012 29,2012,29,9,2012-07-22,2012-7
1,2012 30,2012,30,4,2012-07-29,2012-7
1,2012 31,2012,31,4,2012-08-05,2012-8
1,2012 32,2012,32,6,2012-08-12,2012-8
1,2012 33,2012,33,4,2012-08-19,2012-8
1,2012 34,2012,34,7,2012-08-26,2012-8
1,2012 35,2012,35,8,2012-09-02,2012-9
1,2012 36,2012,36,5,2012-09-09,2012-9
1,2012 37,2012,37,3,2012-09-16,2012-9
1,2012 39,2012,39,2,2012-09-30,2012-9
1,2012 40,2012,40,3,2012-10-07,2012-10
1,2012 42,2012,42,1,2012-10-21,2012-10
1,2012 44,2012,44,1,2012-11-04,2012-11
1,2012 45,2012,45,2,2012-11-11,2012-11
1,2012 46,2012,46,1,2012-11-18,2012-11
1,2012 47,2012,47,6,2012-11-25,2012-11
1,2012 48,2012,48,6,2012-12-02,2012-12
1,2012 49,2012,49,7,2012-12-09,2012-12
1,2012 50,2012,50,2,2012-12-16,2012-12
1,2012 51,2012,51,1,2012-12-23,2012-12
1,2012 52,2012,52,2,2012-12-30,2012-12
1,2013 01,2013,01,3,2013-01-13,2013-1
1,2013 02,2013,02,4,2013-01-20,2013-1
1,2013 03,2013,03,1,2013-01-27,2013-1
1,2013 04,2013,04,3,2013-02-03,2013-2
1,2013 05,2013,05,6,2013-02-10,2013-2
1,2013 06,2013,06,2,2013-02-17,2013-2
1,2013 08,2013,08,4,2013-03-03,2013-3
1,2013 09,2013,09,4,2013-03-10,2013-3
1,2013 10,2013,10,1,2013-03-17,2013-3
1,2013 11,2013,11,1,2013-03-24,2013-3
1,2013 12,2013,12,3,2013-03-31,2013-3
1,2013 14,2013,14,8,2013-04-14,2013-4
1,2013 15,2013,15,1,2013-04-21,2013-4
1,2013 16,2013,16,4,2013-04-28,2013-4
1,2013 17,2013,17,1,2013-05-05,2013-5
1,2013 18,2013,18,10,2013-05-12,2013-5
1,2013 19,2013,19,5,2013-05-19,2013-5
1,2013 21,2013,21,5,2013-06-02,2013-6
1,2013 22,2013,22,2,2013-06-09,2013-6
1,2013 23,2013,23,2,2013-06-16,2013-6
1,2013 24,2013,24,3,2013-06-23,2013-6
1,2013 26,2013,26,4,2013-07-07,2013-7
1,2013 27,2013,27,3,2013-07-14,2013-7
1,2013 28,2013,28,2,2013-07-21,2013-7
1,2013 30,2013,30,1,2013-08-04,2013-8
1,2013 31,2013,31,3,2013-08-11,2013-8
1,2013 32,2013,32,6,2013-08-18,2013-8
1,2013 33,2013,33,7,2013-08-25,2013-8
1,2013 34,2013,34,3,2013-09-01,2013-9
1,2013 35,2013,35,3,2013-09-08,2013-9
1,2013 36,2013,36,3,2013-09-15,2013-9
1,2013 37,2013,37,7,2013-09-22,2013-9
1,2013 38,2013,38,5,2013-09-29,2013-9
1,2013 39,2013,39,7,2013-10-06,2013-10
1,2013 40,2013,40,3,2013-10-13,2013-10
1,2013 41,2013,41,3,2013-10-20,2013-10
1,2013 42,2013,42,5,2013-10-27,2013-10
1,2013 43,2013,43,5,2013-11-03,2013-11
1,2013 44,2013,44,5,2013-11-10,2013-11
1,2013 45,2013,45,5,2013-11-17,2013-11
1,2013 46,2013,46,2,2013-11-24,2013-11
1,2013 47,2013,47,3,2013-12-01,2013-12
1,2013 48,2013,48,6,2013-12-08,2013-12
1,2013 49,2013,49,5,2013-12-15,2013-12
1,2013 50,2013,50,1,2013-12-22,2013-12
1,2013 51,2013,51,7,2013-12-29,2013-12
1,2013 52,2013,52,4,2014-01-05,2013-1
1,2014 01,2014,01,3,2014-01-12,2014-1
1,2014 02,2014,02,1,2014-01-19,2014-1
1,2014 03,2014,03,8,2014-01-26,2014-1
1,2014 04,2014,04,6,2014-02-02,2014-2
1,2014 05,2014,05,4,2014-02-09,2014-2
1,2014 06,2014,06,4,2014-02-16,2014-2
1,2014 07,2014,07,5,2014-02-23,2014-2
1,2014 08,2014,08,11,2014-03-02,2014-3
1,2014 09,2014,09,3,2014-03-09,2014-3
1,2014 10,2014,10,9,2014-03-16,2014-3
1,2014 11,2014,11,5,2014-03-23,2014-3
1,2014 12,2014,12,7,2014-03-30,2014-3
1,2014 13,2014,13,2,2014-04-06,2014-4
1,2014 14,2014,14,7,2014-04-13,2014-4
1,2014 15,2014,15,3,2014-04-20,2014-4
1,2014 16,2014,16,3,2014-04-27,2014-4
1,2014 17,2014,17,2,2014-05-04,2014-5
1,2014 18,2014,18,2,2014-05-11,2014-5
1,2014 19,2014,19,1,2014-05-18,2014-5
1,2014 20,2014,20,3,2014-05-25,2014-5
1,2014 21,2014,21,7,2014-06-01,2014-6
1,2014 22,2014,22,2,2014-06-08,2014-6
1,2014 23,2014,23,3,2014-06-15,2014-6
1,2014 24,2014,24,7,2014-06-22,2014-6
